prefix,feature_type,level1,level2,level3,level4,description
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:reference,,,図面対象番号
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:note,,,備考
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:surveyYear,,,調査年
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,,,,洪水浸水リスク
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:description,,,設定等名称
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:rank,,,浸水ランク
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:rankOrg,,,浸水ランク（独自）
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:depth,,,浸水深
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:adminType,,,指定機関区分
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:scale,,,規模
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:duration,,,継続時間
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingTsunamiRiskAttribute,,,,津波浸水リスク
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingTsunamiRiskAttribute,uro:description,,,設定等名称
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingTsunamiRiskAttribute,uro:rank,,,浸水ランク
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingTsunamiRiskAttribute,uro:rankOrg,,,浸水ランク（独自）
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingTsunamiRiskAttribute,uro:depth,,,浸水深
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingHighTideRiskAttribute,,,,高潮浸水リスク
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingHighTideRiskAttribute,uro:description,,,設定等名称
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingHighTideRiskAttribute,uro:rank,,,浸水ランク
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingHighTideRiskAttribute,uro:rankOrg,,,浸水ランク（独自）
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingHighTideRiskAttribute,uro:depth,,,浸水深
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingInlandFloodingRiskAttribute,,,,内水浸水リスク
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingInlandFloodingRiskAttribute,uro:description,,,設定等名称
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingInlandFloodingRiskAttribute,uro:rank,,,浸水ランク
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingInlandFloodingRiskAttribute,uro:rankOrg,,,浸水ランク（独自）
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingInlandFloodingRiskAttribute,uro:depth,,,浸水深
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingLandSlideRiskAttribute,,,,土砂災害リスク
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingLandSlideRiskAttribute,uro:description,,,設定等名称
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingLandSlideRiskAttribute,uro:areaType,,,内外区分
bldg,bldg:Building,uro:buildingDataQualityAttribute.uro:BuildingDataQualityAttribute,,,,データ品質属性
bldg,bldg:Building,uro:buildingDataQualityAttribute.uro:BuildingDataQualityAttribute,uro:srcScale,,,地図情報レベル
bldg,bldg:Building,uro:buildingDataQualityAttribute.uro:BuildingDataQualityAttribute,uro:geometrySrcDesc,,,幾何属性作成方法
bldg,bldg:Building,uro:buildingDataQualityAttribute.uro:BuildingDataQualityAttribute,uro:thematicSrcDesc,,,主題属性作成方法
bldg,bldg:Building,uro:buildingDataQualityAttribute.uro:BuildingDataQualityAttribute,uro:appearanceSrcDesc,,,テクスチャ作成方法
bldg,bldg:Building,uro:buildingDataQualityAttribute.uro:BuildingDataQualityAttribute,uro:lodType,,,詳細LOD
bldg,bldg:Building,uro:buildingDataQualityAttribute.uro:BuildingDataQualityAttribute,uro:lod1HeightType,,,LOD1の立ち上げに使用する建築物の高さ
bldg,bldg:Building,uro:keyValuePairAttribute.uro:KeyValuePair,,,,拡張属性
bldg,bldg:Building,uro:keyValuePairAttribute.uro:KeyValuePair,uro:key,,,（コードに該当する説明を使用する）
bldg,bldg:Building,uro:keyValuePairAttribute.uro:KeyValuePair,uro:codeValue,,,値
bldg,bldg:Building,uro:keyValuePairAttribute.uro:KeyValuePair,uro:stringValue,,,ー
bldg,bldg:Building,uro:keyValuePairAttribute.uro:KeyValuePair,uro:intValue,,,ー
bldg,bldg:Building,uro:keyValuePairAttribute.uro:KeyValuePair,uro:doubleValue,,,ー
bldg,bldg:Building,uro:keyValuePairAttribute.uro:KeyValuePair,uro:measureValue,,,ー
bldg,bldg:Building,uro:keyValuePairAttribute.uro:KeyValuePair,uro:dateValue,,,ー
bldg,bldg:Building,uro:keyValuePairAttribute.uro:KeyValuePair,uro:uriValue,,,ー
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProject,,,,プロジェクト情報
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProject,uro:globalId,,,グローバルID
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProject,uro:name,,,名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProject,uro:description,,,設定等名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProject,uro:objectType,,,オブジェクトタイプ
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProject,uro:longName,,,識別名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProject,uro:phase,,,プロジェクトの状態
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProject,uro:representationContexts,,,コンテキスト
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProject,uro:unitsInContext,,,単位系情報
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcBuilding,,,,建築物情報
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcBuilding,uro:globalId,,,グローバルID
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcBuilding,uro:name,,,名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcBuilding,uro:description,,,設定等名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcBuilding,uro:objectType,,,オブジェクトタイプ
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcBuilding,uro:longName,,,識別名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcBuilding,uro:compositionType,,,空間構成の区分
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcBuilding,uro:elevationOfRefHeight,,,基準海抜高度
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcBuilding,uro:elevationOfTerrain,,,地盤面の海抜高度
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcBuilding,uro:buildingAddress,,,住所
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcSite,,,,敷地情報
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcSite,uro:globalId,,,グローバルID
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcSite,uro:name,,,名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcSite,uro:description,,,設定等名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcSite,uro:objectType,,,オブジェクトタイプ
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcSite,uro:longName,,,識別名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcSite,uro:objectType,,,オブジェクトタイプ
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcSite,uro:refLongitude,,,敷地の参照ポイントの経度
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcSite,uro:refLatitude,,,敷地の参照ポイントの緯度
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcSite,uro:refElevation,,,敷地の参照ポイントの標高
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcSite,uro:landTitleNumber,,,土地登記に関連する識別情報
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcSite,uro:siteAddress,,,郵便住所
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcCoordinateReferenceSystem,,,,座標参照系情報
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcCoordinateReferenceSystem,uro:name,,,名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcCoordinateReferenceSystem,uro:description,,,設定等名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcCoordinateReferenceSystem,uro:geodeticDatum,,,測地原子
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcCoordinateReferenceSystem,uro:verticalDatum,,,垂直原子
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProjectedCRS,,,,投影座標系情報
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProjectedCRS,uro:name,,,名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProjectedCRS,uro:description,,,設定等名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProjectedCRS,uro:geodeticDatum,,,測地原子
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProjectedCRS,uro:verticalDatum,,,垂直原子
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProjectedCRS,uro:mapUnit,,,座標軸の単位
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProjectedCRS,uro:mapProjection,,,投影座標系名称
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcProjectedCRS,uro:mapZone,,,投影座標系の系
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcMapConversion,,,,座標変換情報
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcMapConversion,sourceCRS,,,変換元CRS
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcMapConversion,targetCRS,,,変換先CRS
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcMapConversion,eastings,,,変換先座標系の東座標に沿った位置
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcMapConversion,northings,,,変換先座標系の北座標に沿った位置
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcMapConversion,orthogonalHeight,,,指定された垂直原子に対する高さ
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcMapConversion,xAxisAbscissa,,,エンジニアリング（ワールド）座標系のローカルx軸の単位ベクトルの終点の東軸に沿った値
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcMapConversion,uro:xAxisOrdinate,,,エンジニアリング（ワールド）座標系のローカルy軸の単位ベクトルの終点の東軸に沿った値
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcMapConversion,uro:scale,,,規模
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetBuildingCommon,,,,建築物共通属性
