モデルの接頭辞,feature_type,tag1,tag2,tag3,tag4,説明：属性名,データ型,同モデル内の日本語名 重複チェック,,feature_type+tag1+tag2+tag3+tag4,重複チェック,同モデル内の重複チェック,,属性名（1）_抽出,属性名（2）_抽出,属性名（3）_抽出,属性名（4）_抽出
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:buildingHeight,,,建築物の高さ,,,,bldg:Buildinguro:BuildingDetailAttributeuro:buildingHeight,,,,uro:BuildingDetailAttribute,uro:buildingHeight,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:eaveHeight,,,軒の高さ,,,,bldg:Buildinguro:BuildingDetailAttributeuro:eaveHeight,,,,uro:BuildingDetailAttribute,uro:eaveHeight,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:note,,,備考,,,,bldg:Buildinguro:BuildingDetailAttributeuro:note,,,,uro:BuildingDetailAttribute,uro:note,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:surveyYear,,,調査年,xs:gYear,,,bldg:Buildinguro:BuildingDetailAttributeuro:surveyYear,,,,uro:BuildingDetailAttribute,uro:surveyYear,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,,,,大規模小売店舗等の立地状況,,,,bldg:Buildinguro:LargeCustomerFacilityAttribute,,,,uro:LargeCustomerFacilityAttribute,,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:class,,,分類,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:class,,,,uro:LargeCustomerFacilityAttribute,uro:class,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:name,,,施設名称,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:name,,,,uro:LargeCustomerFacilityAttribute,uro:name,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:capacity,,,収容数,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:capacity,,,,uro:LargeCustomerFacilityAttribute,uro:capacity,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:owner,,,施設主,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:owner,,,,uro:LargeCustomerFacilityAttribute,uro:owner,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:totalFloorArea,,,延床面積,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:totalFloorArea,,,,uro:LargeCustomerFacilityAttribute,uro:totalFloorArea,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:totalStoreFloorArea,,,店舗床面積,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:totalStoreFloorArea,,,,uro:LargeCustomerFacilityAttribute,uro:totalStoreFloorArea,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:inauguralDate,,,開業日（開校日）,xs:date,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:inauguralDate,,,,uro:LargeCustomerFacilityAttribute,uro:inauguralDate,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:yearOpened,,,開設年,xs:gYear,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:yearOpened,,,,uro:LargeCustomerFacilityAttribute,uro:yearOpened,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:yearClosed,,,廃止年,xs:gYear,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:yearClosed,,,,uro:LargeCustomerFacilityAttribute,uro:yearClosed,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:keyTenants,,,核テナント,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:keyTenants,,,,uro:LargeCustomerFacilityAttribute,uro:keyTenants,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:availability,,,利用可能性,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:availability,,,,uro:LargeCustomerFacilityAttribute,uro:availability,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:urbanPlanType,,,都市計画区域,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:urbanPlanType,,,,uro:LargeCustomerFacilityAttribute,uro:urbanPlanType,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:areaClassificationType,,,区域区分,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:areaClassificationType,,,,uro:LargeCustomerFacilityAttribute,uro:areaClassificationType,,
